teamID,tname,yearID,rank,HR
BOS,Boston Red Sox,1970,3,203
CIN,Cincinnati Reds,1970,1,191
CLE,Cleveland Indians,1970,5,183
CHN,Chicago Cubs,1970,2,179
BAL,Baltimore Orioles,1970,1,179
SDN,San Diego Padres,1970,6,172
OAK,Oakland Athletics,1970,2,171
SFN,San Francisco Giants,1970,3,165
ATL,Atlanta Braves,1970,5,160
MIN,Minnesota Twins,1970,1,153
DET,Detroit Tigers,1970,4,148
