playerID,nameFirst,nameLast,teamID
abadfe01,Fernando,Abad,OAK
abbotku01,Kurt,Abbott,OAK
acrema01,Mark,Acre,OAK
adamswi02,Willie,Adams,OAK
afenitr01,Troy,Afenir,OAK
aldremi01,Mike,Aldrete,OAK
allenbr01,Brandon,Allen,OAK
alonsyo01,Yonder,Alonso,OAK
alvarhe01,Henderson,Alvarez,OAK
alvarrj01,R. J.,Alvarez,OAK
anderbr04,Brett,Anderson,OAK
andujjo01,Joaquin,Andujar,OAK
appieke01,Kevin,Appier,OAK
atherke01,Keith,Atherton,OAK
axforjo01,John,Axford,OAK
bailean01,Andrew,Bailey,OAK
baineha01,Harold,Baines,OAK
bairdo01,Doug,Bair,OAK
bakerdu01,Dusty,Baker,OAK
balfogr01,Grant,Balfour,OAK
bartoda02,Daric,Barton,OAK
bassich01,Chris,Bassitt,OAK
batisto01,Tony,Batista,OAK
battlal01,Allen,Battle,OAK
baylodo01,Don,Baylor,OAK
beanebi01,Billy,Beane,OAK
beckeri01,Rich,Becker,OAK
bellhma01,Mark,Bellhorn,OAK
berroge01,Geronimo,Berroa,OAK
birtsti01,Tim,Birtsas,OAK
blacktr01,Travis,Blackley,OAK
blankla02,Lance,Blankenship,OAK
blantjo01,Joe,Blanton,OAK
blevije01,Jerry,Blevins,OAK
blowemi01,Mike,Blowers,OAK
bochtbr01,Bruce,Bochte,OAK
boevejo01,Joe,Boever,OAK
bordimi01,Mike,Bordick,OAK
bournra01,Rafael,Bournigal,OAK
bowenro01,Rob,Bowen,OAK
bowiemi01,Micah,Bowie,OAK
bradeda01,Dallas,Braden,OAK
bradfch01,Chad,Bradford,OAK
bradlmi01,Milton,Bradley,OAK
breslcr01,Craig,Breslow,OAK
briscjo01,John,Briscoe,OAK
brosisc01,Scott,Brosius,OAK
brownan01,Andrew,Brown,OAK
brownem01,Emil,Brown,OAK
brownje01,Jerry,Browne,OAK
bucktr01,Travis,Buck,OAK
burnsbi02,Billy,Burns,OAK
burnsto02,Todd,Burns,OAK
butlebi03,Billy,Butler,OAK
byrneer01,Eric,Byrnes,OAK
cabreor01,Orlando,Cabrera,OAK
cadargr01,Greg,Cadaret,OAK
cahiltr01,Trevor,Cahill,OAK
calerki01,Kiko,Calero,OAK
callaal01,Alberto,Callaspo,OAK
campbke01,Kevin,Campbell,OAK
candito01,Tom,Candiotti,OAK
canhama01,Mark,Canha,OAK
cansejo01,Jose,Canseco,OAK
canseoz01,Ozzie,Canseco,OAK
carigan01,Andrew,Carignan,OAK
caudibi01,Bill,Caudill,OAK
cespeyo01,Yoenis,Cespedes,OAK
chaveer01,Eric,Chavez,OAK
chaveje01,Jesse,Chavez,OAK
chiamsc01,Scott,Chiamparino,OAK
chitrst01,Steve,Chitren,OAK
chrisry01,Ryan,Christenson,OAK
clippty01,Tyler,Clippard,OAK
codirch01,Chris,Codiroli,OAK
coghlch01,Chris,Coghlan,OAK
colanmi01,Mike,Colangelo,OAK
collida02,Dave,Collins,OAK
colonba01,Bartolo,Colon,OAK
cookry01,Ryan,Cook,OAK
corsiji01,Jim,Corsi,OAK
cowgico01,Collin,Cowgill,OAK
cramebo01,Bobby,Cramer,OAK
crispco01,Coco,Crisp,OAK
crosbbo01,Bobby,Crosby,OAK
cruzju02,Juan,Cruz,OAK
custja01,Jack,Cust,OAK
damonjo01,Johnny,Damon,OAK
darliro01,Ron,Darling,OAK
davisik02,Ike,Davis,OAK
daviskh01,Khris,Davis,OAK
davismi02,Mike,Davis,OAK
davisra01,Rajai,Davis,OAK
davisst02,Storm,Davis,OAK
dejesda01,David,DeJesus,OAK
delosfa01,Fautino,De Los Santos,OAK
denorch01,Chris,Denorfia,OAK
devinjo01,Joey,Devine,OAK
dinarle01,Lenny,DiNardo,OAK
donaljo02,Josh,Donaldson,OAK
doolise01,Sean,Doolittle,OAK
doteloc01,Octavio,Dotel,OAK
doubrfe01,Felix,Doubront,OAK
downske01,Kelly,Downs,OAK
dresski01,Kirk,Dressendorfer,OAK
duchsju01,Justin,Duchscherer,OAK
dullry01,Ryan,Dull,OAK
durazer01,Erubiel,Durazo,OAK
dyeje01,Jermaine,Dye,OAK
eckerde01,Dennis,Eckersley,OAK
ellisma01,Mark,Ellis,OAK
embreal01,Alan,Embree,OAK
evelada01,Dana,Eveland,OAK
fasansa01,Sal,Fasano,OAK
fettemi01,Mike,Fetters,OAK
figuepe01,Pedro,Figueroa,OAK
fikacje01,Jeremy,Fikac,OAK
foulkke01,Keith,Foulke,OAK
foxer01,Eric,Fox,OAK
foxja02,Jake,Fox,OAK
freimna01,Nate,Freiman,OAK
fuentbr01,Brian,Fuentes,OAK
fuldsa01,Sam,Fuld,OAK
gallase01,Sean,Gallagher,OAK
gallemi01,Mike,Gallego,OAK
gantro01,Ron,Gant,OAK
garcija01,Santiago,Casilla,OAK
garcino01,Nomar,Garciaparra,OAK
gatesbr01,Brent,Gates,OAK
gaudich01,Chad,Gaudin,OAK
gentrcr01,Craig,Gentry,OAK
germaes01,Esteban,German,OAK
giambja01,Jason,Giambi,OAK
giambje01,Jeremy,Giambi,OAK
ginteke01,Keith,Ginter,OAK
godfrgr01,Graham,Godfrey,OAK
gomesjo01,Jonny,Gomes,OAK
gonzagi01,Gio,Gonzalez,OAK
