nameFirst,nameLast,birthYear,birthMonth,birthDay
Raul,Alcantara,1992,12,4
Jorge,Alfaro,1993,6,11
Dan,Altavilla,1992,9,8
Carlos,Asuaje,1991,11,2
James,Beresford,1989,1,19
Ty,Blach,1990,10,20
Jed,Bradley,1990,6,12
Parker,Bridwell,1991,8,2
Vicente,Campos,1992,7,27
Stephen,Cardullo,1987,8,31
Gavin,Cecchini,1993,12,22
Jharel,Cotton,1992,1,19
Jose,De Leon,1992,8,7
Matt,Dermody,1990,7,4
Hunter,Dozier,1991,8,22
Jake,Esch,1990,3,27
Eddie,Gamboa,1984,12,21
Perci,Garner,1988,12,13
Juan,Graterol,1989,2,14
Robert,Gsellman,1993,7,18
Yulieski,Gurriel,1984,6,9
Ben,Heller,1991,8,5
Jeff,Hoffman,1993,1,8
Jonathan,Holder,1993,6,9
Destin,Hood,1990,4,3
Kyle,Jensen,1988,5,20
JaCoby,Jones,1992,5,10
Carson,Kelly,1994,7,14
Spencer,Kieboom,1991,3,16
Patrick,Kivlehan,1989,12,22
Matt,Koch,1990,11,2
Trey,Mancini,1992,3,18
Joe,Mantiply,1991,3,1
Manuel,Margot,1994,9,28
German,Marquez,1995,2,22
Kelvin,Marte,1987,11,24
Jose,Martinez,1988,7,25
Kevin,McCarthy,1992,2,22
Adalberto,Mejia,1993,6,20
Yohander,Mendez,1995,1,17
Juan,Minaya,1990,9,18
Yoan,Moncada,1995,5,27
Renato,Nunez,1994,4,4
Matt,Olson,1994,3,29
Jordan,Patterson,1992,2,12
David,Paulino,1994,2,6
Felix,Pena,1990,2,25
Wandy,Peralta,1991,7,27
Chad,Pinder,1992,3,29
Adam,Plutko,1991,10,3
Juniel,Querecuto,1992,9,19
Roman,Quinn,1993,5,14
Hunter,Renfroe,1992,1,28
Brady,Rodgers,1990,9,17
Joely,Rodriguez,1991,11,14
Rio,Ruiz,1994,5,22
Robby,Scott,1989,8,29
Blake,Smith,1987,12,9
Jake,Smith,1990,6,2
Kevan,Smith,1988,6,28
Josh,Smoker,1988,11,26
Brent,Suter,1989,8,29
Dansby,Swanson,1994,2,11
Raimel,Tapia,1994,2,4
Jose,Torres,1993,9,24
Pat,Valaika,1992,9,9
Dan,Vogelbach,1992,12,17
Joey,Wendle,1990,4,26
Trevor,Williams,1992,4,25
Alex,Wimmers,1988,11,1
Rob,Zastryzny,1992,3,26
